    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:33 /sbin/init
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-kblockd]
     10 ?        I<     0:00 [mm_percpu_wq]
     11 ?        S      0:01 [ksoftirqd/0]
     12 ?        I      6:10 [rcu_sched]
     13 ?        S      0:01 [migration/0]
     14 ?        S      0:00 [idle_inject/0]
     15 ?        S      0:00 [cpuhp/0]
     16 ?        S      0:00 [cpuhp/1]
     17 ?        S      0:00 [idle_inject/1]
     18 ?        S      0:05 [migration/1]
     19 ?        S      0:00 [ksoftirqd/1]
     21 ?        I<     0:00 [kworker/1:0H-kblockd]
     22 ?        S      0:00 [cpuhp/2]
     23 ?        S      0:00 [idle_inject/2]
     24 ?        S      0:05 [migration/2]
     25 ?        S      0:00 [ksoftirqd/2]
     27 ?        I<     0:00 [kworker/2:0H-kblockd]
     28 ?        S      0:00 [cpuhp/3]
     29 ?        S      0:00 [idle_inject/3]
     30 ?        S      0:05 [migration/3]
     31 ?        S      0:00 [ksoftirqd/3]
     33 ?        I<     0:00 [kworker/3:0H-kblockd]
     34 ?        S      0:00 [cpuhp/4]
     35 ?        S      0:00 [idle_inject/4]
     36 ?        S      0:05 [migration/4]
     37 ?        S      0:00 [ksoftirqd/4]
     39 ?        I<     0:00 [kworker/4:0H]
     40 ?        S      0:00 [cpuhp/5]
     41 ?        S      0:00 [idle_inject/5]
     42 ?        S      0:05 [migration/5]
     43 ?        S      0:00 [ksoftirqd/5]
     45 ?        I<     0:00 [kworker/5:0H-kblockd]
     46 ?        S      0:00 [cpuhp/6]
     47 ?        S      0:00 [idle_inject/6]
     48 ?        S      0:05 [migration/6]
     49 ?        S      0:00 [ksoftirqd/6]
     51 ?        I<     0:00 [kworker/6:0H-kblockd]
     52 ?        S      0:00 [cpuhp/7]
     53 ?        S      0:00 [idle_inject/7]
     54 ?        S      0:05 [migration/7]
     55 ?        S      0:00 [ksoftirqd/7]
     57 ?        I<     0:00 [kworker/7:0H]
     58 ?        S      0:00 [cpuhp/8]
     59 ?        S      0:00 [idle_inject/8]
     60 ?        S      0:05 [migration/8]
     61 ?        S      0:00 [ksoftirqd/8]
     63 ?        I<     0:00 [kworker/8:0H-kblockd]
     64 ?        S      0:00 [cpuhp/9]
     65 ?        S      0:00 [idle_inject/9]
     66 ?        S      0:05 [migration/9]
     67 ?        S      0:00 [ksoftirqd/9]
     69 ?        I<     0:00 [kworker/9:0H-kblockd]
     70 ?        S      0:00 [cpuhp/10]
     71 ?        S      0:00 [idle_inject/10]
     72 ?        S      0:05 [migration/10]
     73 ?        S      0:00 [ksoftirqd/10]
     75 ?        I<     0:00 [kworker/10:0H-kblockd]
     76 ?        S      0:00 [cpuhp/11]
     77 ?        S      0:00 [idle_inject/11]
     78 ?        S      0:05 [migration/11]
     79 ?        S      0:01 [ksoftirqd/11]
     81 ?        I<     0:00 [kworker/11:0H-kblockd]
     82 ?        S      0:00 [cpuhp/12]
     83 ?        S      0:00 [idle_inject/12]
     84 ?        S      0:05 [migration/12]
     85 ?        S      0:00 [ksoftirqd/12]
     87 ?        I<     0:00 [kworker/12:0H-kblockd]
     88 ?        S      0:00 [cpuhp/13]
     89 ?        S      0:00 [idle_inject/13]
     90 ?        S      0:05 [migration/13]
     91 ?        S      0:00 [ksoftirqd/13]
     93 ?        I<     0:00 [kworker/13:0H]
     94 ?        S      0:00 [cpuhp/14]
     95 ?        S      0:00 [idle_inject/14]
     96 ?        S      0:05 [migration/14]
     97 ?        S      0:00 [ksoftirqd/14]
     99 ?        I<     0:00 [kworker/14:0H-kblockd]
